"ItemNumber","ItemVariationNumber","ImprintLocationName"
"BG263","BG263HU","Front Pocket"
"BG263","BG263BK","Front Pocket"
"BG264","BG264RY","Front Pocket"
"BG264","BG264BK","Top Flap Pocket"
"BG264","BG264BK","Front Pocket"
"BG264","BG264RD","Top Flap Pocket"
"BG264","BG264RD","Front Pocket"
"BG264","BG264RY","Top Flap Pocket"
"BG264","BG264RY","Front Pocket"
"BG264","BG264BK","Front Pocket"
"BG264","BG264BK","Top Flap Pocket"
"BG264","BG264RD","Front Pocket"
"BG264","BG264RD","Top Flap Pocket"
"BG264","BG264RY","Front Pocket"
"BG264","BG264RY","Top Flap Pocket"
"BG264","BG264BK","Front Pocket"
"BG264","BG264RD","Front Pocket"
"BG264","BG264RY","Front Pocket"
"BG264","BG264BK","Front Pocket"
"BG264","BG264RD","Front Pocket"
"BG264","BG264RY","Front Pocket"
"BG264","BG264BK","Top Flap Pocket"
"BG264","BG264RD","Top Flap Pocket"
"BG264","BG264RY","Top Flap Pocket"
"BG264","BG264BK","Front Pocket"
"BG264","BG264RD","Front Pocket"
"BG264","BG264RY","Front Pocket"
"BG264","BG264BK","Front Pocket"
"BG264","BG264RD","Front Pocket"
"BG269","BG269BK","Back of Chair"
"BG269","BG269RY","Back of Chair"
"BG269","BG269BK","Bag-Opposite of Strap"
"BG269","BG269RY","Bag-Opposite of Strap"
"BG269","BG269BK","Top Chair"
"BG269","BG269RY","Top Chair"
"BG269","BG269BK","Default"
"BG269","BG269RY","Default"
"BG269","BG269BK","Top Chair"
"BG269","BG269RY","Top Chair"
"BG269","BG269BK","Default"
"BG269","BG269RY","Default"
"BG270","BG270RY","Front Pocket"
"BG270","BG270RY","Front Pocket"
"BG270","BG270BK","Top Flap Pocket"
"BG270","BG270BK","Top Flap Pocket"
"BG270","BG270RD","Top Flap Pocket"
"BG270","BG270RD","Top Flap Pocket"
"BG270","BG270RY","Top Flap Pocket"
"BG270","BG270RY","Top Flap Pocket"
"BG270","BG270BK","Front Pocket"
"BG270","BG270BK","Front Pocket"
"BG270","BG270RD","Front Pocket"
"BG270","BG270RD","Front Pocket"
"BG270","BG270RY","Front Pocket"
"BG270","BG270RY","Front Pocket"
"BG270","BG270BK","Top Flap Pocket"
"BG270","BG270BK","Top Flap Pocket"
"BG270","BG270RD","Top Flap Pocket"
"BG270","BG270RD","Top Flap Pocket"
"BG270","BG270RY","Top Flap Pocket"
"BG270","BG270RY","Top Flap Pocket"
"BG270","BG270BK","Front Pocket"
"BG270","BG270RD","Front Pocket"
"BG270","BG270RY","Front Pocket"
"BG270","BG270BK","Front Pocket"
"BG270","BG270RD","Front Pocket"
"BG270","BG270RY","Front Pocket"
"BG270","BG270BK","Top Flap Pocket"
"BG270","BG270RD","Top Flap Pocket"
"BG270","BG270RY","Top Flap Pocket"
"BG270","BG270BK","Front Pocket"
"BG270","BG270BK","Front Pocket"
"BG270","BG270RD","Front Pocket"
"BG270","BG270RD","Front Pocket"
"BG271","BG271RY","Front Pocket"
"BG271","BG271BK","Right Side Pocket"
"BG271","BG271BK","Right Side Pocket"
"BG271","BG271BK","Left Side Pocket"
"BG271","BG271RD","Right Side Pocket"
"BG271","BG271RD","Right Side Pocket"
"BG271","BG271RD","Left Side Pocket"
"BG271","BG271RY","Right Side Pocket"
"BG271","BG271RY","Right Side Pocket"
"BG271","BG271RY","Left Side Pocket"
"BG271","BG271BK","Front Pocket"
"BG271","BG271BK","Right Side Pocket"
